,model_type,acc
0,bert,0.8656467315716273
1,cnn,0.8884561891515994
2,lstm,0.8776077885952712
3,fast_text,0.8734353268428373
4,gru,0.8773296244784423
5,stack_gated_cnn,0.8912378303198887
6,gated_cnn,0.8901251738525731
7,rnn,0.8815020862308762
8,gru,0.8795549374130737
9,rcnn,0.8798331015299027
10,bert_mid_layer,0.8712100139082058
11,bert_cnn,0.8773296244784423
12,bert_lstm,0.8692628650904033
